"","OverallQual","YearRemodAdd","TotalBsmtSF","Fireplaces","GarageCars","GrLivArea","SalePrice","neighborhood"
"79",4,1968,1768,0,0,1768,136500,19
"80",5,1981,440,0,2,1230,110000,18
"81",6,1968,896,1,1,2142,193500,13
"82",6,1998,1237,0,2,1337,153500,12
"83",8,2007,1563,1,3,1563,245000,21
"84",5,1960,1065,0,2,1065,126500,13
"85",7,1996,384,1,2,1474,168500,9
"86",8,1992,1288,1,2,2417,260000,14
"87",6,2005,684,1,2,1560,174000,9
"88",6,2009,612,0,2,1224,164500,21
"89",3,1982,1013,0,0,1526,85000,10
"90",4,1995,990,0,0,990,123600,6
"91",4,1950,0,0,2,1040,109900,13
"92",5,1961,1235,0,2,1235,98600,13
"93",5,2006,876,0,2,964,163500,7
"94",6,1998,1214,1,2,2291,133900,18
"95",6,1997,824,0,2,1786,204750,6
"96",6,1993,680,1,2,1470,185000,9
"97",7,1999,1588,0,2,1588,214000,6
"98",4,1965,960,0,1,960,94750,8
"99",5,1950,458,0,1,835,83000,8
"100",4,1959,950,0,0,1225,128950,13
"101",6,2001,1610,2,2,1610,205000,17
"102",6,1985,741,1,2,1732,178000,20
"103",5,1979,0,0,2,1535,118964,20
"104",7,2009,1226,0,3,1226,198900,6
"105",7,1950,1040,2,1,1818,169500,10
"106",8,2004,1053,1,2,1992,250000,21
"107",4,1995,641,0,1,1047,1e+05,18
"108",5,1950,789,0,1,789,115000,18
"109",5,2005,793,0,0,1517,115000,10
"110",6,1977,1844,1,2,1844,190000,17
"111",6,1972,994,0,1,1855,136900,8
"112",7,2000,384,1,2,1430,180000,9
"113",7,2007,1264,1,3,2696,383970,6
"114",6,1953,1809,2,2,2259,217000,7
"115",6,2002,1028,1,1,2320,259500,7
"116",6,1999,729,1,2,1458,176000,21
"117",5,1962,1092,1,1,1092,139000,19
"118",5,2007,1125,0,2,1125,155000,8
"119",7,1990,1673,2,3,3222,320000,20
"120",6,2006,728,1,2,1456,163990,6
"121",6,1969,938,2,2,988,180000,5
"122",4,1950,732,0,1,1123,1e+05,10
"123",6,1958,1080,0,1,1080,136000,13
"124",6,1993,1199,0,2,1199,153900,20
"125",6,1998,1362,1,2,1586,181000,17
"126",6,1982,520,0,0,754,84500,10
"127",6,1976,1078,1,2,958,128000,15
"128",5,1950,672,1,0,840,87000,18
"129",6,1966,660,1,2,1348,155000,13
"130",5,1991,1008,0,2,1053,150000,13
"131",7,1966,924,2,2,2157,226000,13
"132",6,2000,992,1,2,2054,244000,9
"133",5,2002,1063,0,2,1327,150750,13
"134",8,2002,1267,0,2,1296,220000,24
"135",5,1993,1461,1,2,1721,180000,19
"136",7,1970,1304,1,2,1682,174000,17
"137",5,1967,1214,1,1,1214,143000,13
"138",7,1989,1907,0,3,1959,171000,12
"139",8,2000,1004,2,3,1852,230000,6
"140",6,1997,928,0,2,1764,231500,6
"141",4,1971,864,1,0,864,115000,13
"142",7,2005,1734,0,2,1734,260000,6
"143",5,1952,910,0,2,1385,166000,13
"144",7,1999,1490,0,2,1501,204000,6
"145",5,1963,1728,0,2,1728,125000,19
"146",6,2006,970,0,2,1709,130000,8
"147",5,1993,715,0,1,875,105000,4
"148",7,2001,884,1,2,2035,222500,9
"149",7,2005,1080,0,0,1080,141000,20
"150",5,1950,896,0,1,1344,115000,4
"151",5,1975,969,0,2,969,122000,6
"152",8,2008,1710,1,3,1710,372402,16
"153",6,1971,825,1,2,1993,190000,17
"154",6,1975,1602,1,2,1252,235000,5
"155",6,1950,1200,0,1,1200,125000,18
"156",6,1950,572,0,0,1096,79000,8
"157",5,1950,0,0,2,1040,109500,13
"158",8,2010,774,1,3,1968,269500,24
"159",7,2005,991,1,2,1947,254900,21
"160",7,2006,1392,1,2,2462,320000,9
"161",6,1984,1232,0,2,1232,162500,25
"162",9,2004,1572,2,3,2668,412500,16
"163",7,2005,1541,1,2,1541,220000,16
"164",4,1956,882,0,0,882,103200,18
"165",6,2004,1149,0,1,1616,152000,18
"166",5,1999,644,0,0,1355,127500,8
"167",5,1993,1617,3,1,1867,190000,5
"168",8,2007,1582,1,3,2161,325624,16
"169",7,2004,840,1,2,1720,183500,9
"170",8,1981,1686,1,2,1707,228000,24
"171",5,1950,720,0,2,1382,128500,18
"172",6,1960,1080,2,2,1656,215000,13
"173",7,1987,1064,1,2,1767,239000,22
"174",6,1961,1362,1,2,1362,163000,13
"175",6,1986,1606,1,2,1651,184000,24
"176",6,2001,1202,1,2,2158,243000,8
"177",6,1989,1151,1,2,2060,211000,5
"178",5,1958,1052,1,2,1920,172500,19
"179",9,2009,2216,1,3,2234,501837,22
"180",5,2006,968,0,2,968,1e+05,18
"181",6,2000,756,1,2,1525,177000,21
"182",7,1950,793,1,1,1802,200100,7
"183",5,2006,0,1,1,1340,120000,8
"184",7,2003,1362,0,2,2082,2e+05,18
"185",5,1991,504,0,2,1252,127000,4
"186",10,1993,1107,2,3,3608,475000,18
"187",7,1991,1188,0,2,1217,173000,12
"188",5,1987,660,0,1,1656,135000,18
"189",5,1979,1086,2,2,1224,153337,20
"190",8,2002,1593,1,2,1593,286000,22
"191",8,1994,853,2,2,2727,315000,7
"192",7,2004,725,0,2,1479,184000,13
"193",7,1999,1431,0,2,1431,192000,6
"194",7,2004,970,0,2,1709,130000,8
"195",5,1972,864,0,1,864,127000,6
"196",6,1976,855,1,2,1456,148500,15
"197",7,2007,1726,1,3,1726,311872,21
"198",8,1990,1360,1,2,3112,235000,13
"199",6,1950,755,0,0,2229,104000,18
"200",8,2005,1713,1,3,1713,274900,16
"201",4,2004,1121,0,2,1121,140000,8
"202",6,1977,1196,2,2,1279,171500,12
"203",6,1950,617,0,1,1310,112000,18
"204",6,2004,848,1,2,848,149000,6
"205",5,1950,720,0,1,1284,110000,18
"206",7,1990,1424,0,2,1442,180500,9
"207",5,1962,1140,1,1,1696,143900,19
"208",4,1960,1100,1,1,1100,141000,13
"209",7,1989,1157,1,2,2062,277000,20
"210",6,1964,1092,0,2,1092,145000,13
"211",5,1950,864,0,0,864,98000,8
"212",6,2009,1212,0,2,1212,186000,8
"213",7,2009,900,1,2,1852,252678,21
"214",5,1995,990,0,2,990,156000,6
"215",6,1977,689,0,1,1392,161750,6
"216",5,1996,1070,1,1,1236,134450,13
"217",7,2004,1436,0,2,1436,210000,6
"218",4,1950,686,0,1,1328,107000,18
"219",7,2006,798,2,2,1954,311500,7
"220",7,2006,1248,0,2,1248,167240,1
"221",7,2006,1498,0,2,1498,204900,6
"222",6,2002,1010,1,2,2267,2e+05,9
"223",6,1975,713,1,2,1552,179900,17
"224",4,1971,864,0,2,864,97000,13
"225",10,2003,2392,1,3,2392,386250,16
"226",5,1971,630,0,1,1302,112000,3
"227",7,1995,1203,1,3,2520,290000,14
"228",6,1970,483,0,1,987,106000,3
"229",5,1967,912,1,1,912,125000,19
"230",7,2006,1373,1,2,1555,192500,1
"231",6,1959,1194,0,1,1194,148000,13
"232",8,1996,1462,1,3,2794,403000,14
"233",6,1972,483,1,1,987,94500,3
"234",5,1976,894,0,1,894,128200,6
"235",6,2002,860,2,2,1960,216500,9
"236",6,1971,483,0,1,987,89500,3
"237",7,2004,1414,0,2,1414,185500,6
"238",7,2003,996,0,2,1744,194500,20
"239",8,2007,1694,0,3,1694,318000,16
"240",6,1950,735,1,1,1487,113000,8
"241",8,2008,1566,0,2,1566,262500,21
"242",5,1997,686,0,0,866,110500,18
"243",5,1950,540,0,1,1440,79000,18
"244",6,1980,626,1,1,1217,120000,20
"245",7,2002,948,2,2,2110,205000,20
"246",7,1988,1845,1,2,1872,241500,17
"247",6,1950,1020,0,1,1928,137000,18
"248",6,1954,1367,1,2,1375,140000,13
"249",7,2003,840,0,2,1668,180000,6
"250",6,2006,1444,2,2,2144,277000,5
"251",3,1966,728,0,0,1306,76500,4
"252",8,2007,1573,1,2,1625,235000,7
"253",6,2004,798,0,2,1640,173000,20
"254",6,1991,1302,0,1,1302,158000,13
"255",5,1957,1314,0,1,1314,145000,13
"256",7,1999,975,1,2,2291,230000,9
"257",6,2003,864,0,2,1728,207500,21
"258",7,2006,1604,1,2,1604,220000,6
"259",7,2001,963,1,2,1792,231500,6
"260",5,1956,0,0,1,882,97000,18
"261",6,1962,1362,1,2,1382,176000,13
"262",8,2007,1482,1,3,2574,276000,6
"263",6,1995,506,1,2,1212,151000,19
"264",5,2001,926,0,2,1316,130000,18
"265",5,2004,680,0,2,764,73000,18
"266",6,1981,1422,1,2,1422,175500,17
"267",6,1997,802,1,2,1511,185000,9
"268",5,1997,720,1,1,2192,179500,23
"269",5,1955,740,1,1,778,120500,10
"270",6,1976,1143,1,1,1113,148000,8
"271",8,2006,1095,1,3,1939,266000,21
"272",7,2005,1385,2,2,1363,241500,5
"273",8,2007,1152,1,3,2270,290000,14
"274",6,1988,1240,1,1,1632,139000,13
"275",5,1982,816,0,1,816,124500,12
"276",7,2007,952,0,2,1548,205000,4
"277",7,2003,1560,0,2,1560,201000,12
"278",4,1951,864,0,2,864,141000,9
"279",9,2007,2121,1,3,2121,415298,16
"280",7,1977,1160,1,2,2022,192000,5
"281",7,1989,807,1,2,1982,228500,20
"282",6,2006,1262,0,2,1262,185000,21
"283",7,2008,1314,1,2,1314,207500,16
"284",8,2009,1468,1,3,1468,244600,21
"285",6,1992,1575,0,2,1575,179200,20
"286",7,2007,625,0,2,1250,164700,21
"287",6,1981,912,1,2,1734,159000,13
"288",4,1971,858,0,0,858,88000,13
"289",5,1967,882,0,1,900,122000,19
"290",6,2003,698,0,1,1396,153575,4
"291",8,2006,1079,1,2,1919,233230,6
"292",5,2000,780,0,0,1716,135900,23
"293",5,2008,768,1,1,1716,131000,8
"294",7,1994,795,1,2,2263,235000,17
"295",6,1953,1416,2,2,1644,167000,13
"296",6,1984,1003,0,2,1003,142500,12
"297",5,1950,910,0,1,1558,152000,10
"298",7,1998,975,1,2,1950,239000,21
"299",6,1968,702,1,2,1743,175000,17
"300",6,2004,1092,1,1,1152,158500,7
"301",5,1953,1165,2,1,1336,157000,7
"302",8,1999,1028,1,2,2452,267000,6
"303",7,2002,1541,1,3,1541,205000,6
"304",5,1972,894,0,2,894,149900,6
"305",7,2002,1470,1,3,3493,295000,18
"306",8,2005,2000,0,3,2000,305900,6
"307",7,1991,700,1,3,2243,225000,20
"308",6,1950,319,0,0,1406,89500,10
"309",4,1950,861,0,2,861,82500,8
"310",9,2004,1896,3,3,1944,360000,16
"311",6,1994,697,1,2,1501,165600,9
"312",6,2002,972,1,1,972,132000,13
"313",5,1950,793,1,2,1118,119900,18
"314",7,1965,2136,2,2,2036,375000,24
"315",7,1990,728,1,2,1641,178000,18
"316",7,2005,716,1,2,1432,188500,9
"317",7,1980,845,1,2,2353,260000,17
"318",8,2006,1088,1,3,1959,270000,21
"319",7,1993,1347,1,3,2646,260000,14
"320",7,1980,1372,2,2,1472,187500,17
"321",9,2006,1249,0,3,2596,342643,16
"322",8,2004,1136,1,3,2468,354000,16
"323",7,1987,1502,1,2,2730,301000,20
"324",3,2005,1162,0,1,1163,126175,18
"325",7,2007,710,1,2,2978,242000,13
"326",5,1950,720,0,2,803,87000,10
"327",8,1993,1719,2,2,1719,324000,25
"328",6,1960,1383,0,1,1383,145250,13
"329",6,1994,844,0,2,2134,214500,4
"330",5,1950,596,0,1,1192,78000,10
"331",5,1964,1728,0,1,1728,119000,13
"332",5,1992,1056,0,1,1056,139000,13
"333",8,2004,3206,1,3,1629,284000,16
"334",7,2004,1358,1,2,1358,207000,16
"335",6,1998,943,2,2,1638,192000,9
"336",5,1965,1499,2,2,1786,228950,24
"337",9,2006,1922,1,3,1922,377426,22
"338",7,2003,1536,0,2,1536,214000,6
"339",7,1998,1208,0,2,1621,202500,17
"340",6,1998,1215,0,1,1215,155000,13
"341",8,2002,967,0,2,1908,202900,24
"342",4,1950,721,0,1,841,82000,20
"343",3,1950,0,0,2,1040,87500,13
"344",9,2005,1684,1,2,1684,266000,16
"345",5,1976,536,0,1,1112,85000,11
"346",6,1950,972,1,1,1577,140200,4
"347",6,1998,958,0,1,958,151500,13
"348",6,1960,1478,2,2,1478,157500,13
"349",7,2004,764,0,2,1626,154000,16
"350",9,2006,1848,2,3,2728,437154,16
"351",9,2007,1869,1,2,1869,318061,16
"352",7,1986,1453,1,2,1453,190000,5
"353",5,1950,616,0,1,1111,95000,8
"354",6,2003,624,0,2,720,105900,18
"355",6,2000,940,2,1,1595,140000,23
"356",6,1995,1200,0,2,1200,177500,6
"357",6,1992,1158,0,2,1167,173000,9
"358",5,1976,1142,1,2,1142,134000,11
"359",5,1958,1062,0,1,1352,130000,5
"360",8,1998,1086,1,2,1924,280000,14
"361",6,1978,888,1,2,912,156000,12
"362",5,1982,883,0,1,1505,145000,4
"363",7,2003,0,1,2,1922,198500,8
"364",6,2007,483,0,1,987,118000,3
"365",6,1976,796,1,2,1574,190000,17
"366",5,1997,672,0,1,1344,147000,10
"367",6,1963,1394,2,2,1394,159000,13
"368",6,1962,1099,1,1,1431,165000,13
"369",5,1954,1268,1,1,1268,132000,13
"370",5,2006,1063,1,2,1287,162000,13
"371",6,2000,953,1,2,1664,172400,9
"372",4,1959,0,1,2,1588,134432,5
"373",6,1984,744,0,1,752,125000,20
"374",5,1953,608,0,1,1319,123000,13
"375",7,2004,847,1,2,1928,219500,6
"376",1,1950,683,0,0,904,61000,8
"377",5,1996,870,0,2,914,148000,6
"378",8,2005,1580,1,2,2466,340000,21
"379",9,2010,1856,1,3,1856,394432,22
"380",6,2000,982,1,2,1800,179000,9
"381",5,1950,1026,1,1,1691,127000,23
"382",7,2006,1293,1,2,1301,187750,21
"383",7,2006,939,0,2,1797,213500,6
"384",6,1950,784,0,2,784,76000,20
"385",6,1992,1580,2,2,1953,240000,5
"386",8,2005,1256,1,2,1269,192000,1
"387",5,1996,658,0,0,1184,81000,8
"388",6,1976,1041,1,1,1125,125000,8
"389",7,2000,1468,0,2,1479,191000,6
"390",10,2008,1682,1,3,2332,426000,16
"391",5,1950,861,0,1,1367,119000,8
"392",6,2002,804,1,2,1961,215000,12
"393",5,1959,0,0,1,882,106500,13
"394",4,1950,788,2,0,788,1e+05,4
"395",5,1950,735,0,1,1034,109000,18
"396",5,1956,1144,0,1,1144,129000,8
"397",5,1972,894,0,2,894,123000,6
"398",5,1962,864,1,1,1812,169500,13
"399",5,1950,961,0,1,1077,67000,10
"400",7,2007,1092,0,2,1550,241000,21
"401",8,1996,1260,2,2,1288,245500,25
"402",7,2005,1310,1,2,1310,164990,6
"403",5,1997,672,0,1,672,108000,19
"404",8,1998,1141,1,2,2263,258000,14
"405",6,1996,806,1,2,1572,168000,9
"406",4,1993,1281,1,2,1620,150000,19
"407",6,1950,1064,0,1,1639,115000,23
"408",6,1976,840,0,1,1680,177000,7
"409",7,2006,1063,1,3,2172,280000,16
"410",8,2008,1034,1,3,2078,339750,21
"411",5,1958,1276,0,1,1276,60000,8
"412",5,1955,1056,0,2,1056,145000,9
"413",7,2009,1470,1,2,1478,222000,21
"414",5,1950,1008,1,2,1028,115000,18
"415",7,1993,1080,1,3,2097,228000,20
"416",7,2007,1340,0,2,1340,181134,9
"417",6,1978,672,1,2,1400,149500,19
"418",6,1950,1370,1,3,2624,239000,7
"419",5,1950,756,0,1,1134,126000,8
"420",5,1968,1056,1,1,1056,142000,13
"421",7,1998,1344,0,4,1344,206300,12
"422",6,2000,1602,1,2,1602,215000,17
"423",5,1954,988,0,2,988,113000,12
"424",8,1998,1470,1,3,2630,315000,14
"425",6,1956,1196,1,1,1196,139000,13
"426",7,1992,651,2,1,1389,135000,18
"427",7,1989,1518,1,2,1644,275000,20
"428",4,1957,907,0,1,907,109008,13
"429",7,2007,1208,0,2,1208,195400,6
"430",6,1988,1392,1,2,1412,175000,24
"431",6,1971,483,0,1,987,85400,3
"432",6,1998,901,0,0,1198,79900,18
"433",5,1971,765,0,2,1365,122500,3
"434",6,1998,926,1,2,1604,181000,9
"435",4,1972,630,0,0,630,81000,11
"436",7,1996,799,1,2,1661,212000,6
"437",6,1950,648,0,2,1118,116000,18
"438",6,2004,884,0,1,904,119000,4
"439",5,2002,440,1,1,694,90350,7
"440",6,2000,684,0,2,1196,110000,8
"441",10,2008,3094,2,3,2402,555000,16
"442",4,1955,1440,0,0,1440,118000,8
"443",5,1992,1078,1,2,1573,162900,4
"444",7,2007,1258,1,3,1258,172500,1
"445",7,1995,915,1,2,1908,210000,6
"446",6,1956,1436,1,2,1689,127500,8
"447",6,2002,1517,1,2,1888,190000,13
"448",7,1999,930,1,2,1886,199900,9
"449",6,1950,780,1,1,1376,119500,10
"450",3,2002,649,0,1,1183,120000,18
"451",6,2005,813,0,1,813,110000,18
"452",7,1975,1533,2,2,1533,280000,5
"453",6,1997,872,0,2,1756,204000,24
"454",8,2008,768,0,2,1590,210000,21
"455",5,1976,1728,0,2,1728,188000,12
"456",7,1973,1242,1,2,1242,175500,17
"457",5,1950,624,0,3,1344,98000,18
"458",4,1994,1364,2,2,1663,256000,5
"459",8,1996,588,1,1,1666,161000,18
"460",5,1950,709,1,1,1203,110000,4
"461",8,2009,832,0,2,1935,263435,21
"462",7,2007,560,0,2,1135,155000,23
"463",5,1965,864,1,1,864,62383,19
"464",6,1995,715,1,1,1660,188700,7
"465",5,1978,1040,0,0,1040,124000,6
"466",7,2004,1375,1,2,1414,178740,1
"467",7,1970,1277,1,2,1277,167000,13
"468",5,1995,728,2,1,1644,146500,13
"469",8,2006,1626,1,3,1634,250000,16
"470",6,1993,832,0,2,1710,187000,20
"471",8,1985,1488,0,2,1502,212000,22
"472",7,1977,808,1,2,1969,190000,17
"473",6,2005,547,0,2,1072,148000,8
"474",8,2007,1976,1,3,1976,440000,16
"475",8,2000,1494,0,2,1652,251000,22
"476",5,1963,970,0,2,970,132500,19
"477",6,1998,1478,1,2,1493,208900,6
"478",9,2006,2153,1,3,2643,380000,16
"479",8,2008,1705,1,3,1718,297000,6
"480",4,2000,907,0,2,1131,89471,18
"481",9,2005,1833,1,3,1850,326000,16
"482",9,2004,1792,1,3,1792,374000,16
"483",7,2005,910,1,1,1826,155000,18
"484",6,1998,1216,0,2,1216,164000,12
"485",5,2001,999,0,1,999,132500,19
"486",5,2007,1113,1,1,1113,147000,13
"487",5,1965,1073,0,2,1073,156000,13
"488",5,1971,1484,1,2,1484,175000,17
"489",5,1970,954,1,2,2414,160000,18
"490",4,2002,630,0,1,630,86000,11
"491",5,1976,264,1,1,1304,115000,11
"492",6,1950,806,2,1,1578,133000,13
"493",6,2006,728,0,2,1456,172785,9
"494",5,1960,1269,1,1,1269,155000,13
"495",5,1996,190,0,1,886,91300,18
"496",4,1950,720,0,0,720,34900,10
"497",8,1993,3200,1,2,3228,430000,14
"498",7,1950,1026,0,1,1820,184000,4
"499",5,2004,864,0,1,899,130000,19
"500",5,1985,912,0,1,912,120000,13
"501",6,1973,672,0,1,1218,113000,3
"502",7,2005,866,0,2,1768,226700,21
"503",5,1965,1214,0,2,1214,140000,8
"504",7,1997,1501,2,2,1801,289000,7
"505",6,1974,855,1,2,1322,147000,15
"506",5,1952,960,0,2,1960,124500,18
"507",8,1994,777,1,2,1911,215000,20
"508",6,2009,1218,0,2,1218,208300,21
"509",7,2005,689,1,2,1378,161000,18
"510",5,1959,1041,0,1,1041,124500,13
"511",5,2000,1008,2,1,1363,164900,13
"512",7,2006,1368,1,2,1368,202665,16
"513",5,1958,864,0,2,864,129900,13
"514",6,1983,1084,0,2,1080,134000,12
"515",5,1950,768,0,1,789,96500,7
"516",10,2009,2006,1,3,2020,402861,16
"517",6,1972,689,1,2,2119,158000,17
"518",7,1997,1264,1,3,2344,265000,14
"519",6,1998,794,0,2,1796,211000,6
"520",7,2004,1276,2,1,2080,234000,7
"521",4,2000,0,0,0,1294,106250,18
"522",6,1957,1244,2,1,1244,150000,13
"523",6,1950,1004,2,2,1664,159000,4
"524",10,2008,3138,1,3,4676,184750,8
"525",7,1997,1379,1,3,2398,315750,14
"526",7,2005,1257,1,2,1266,176000,21
"527",5,2000,928,0,1,928,132000,13
"528",9,2008,1452,1,3,2713,446261,16
"529",4,2002,528,0,0,605,86000,8
"530",6,1975,2035,2,2,2515,200624,7
"531",6,1989,1461,1,2,1509,175000,24
"532",6,1999,611,0,2,1362,128000,4
"533",5,2007,0,1,1,827,107500,13
"534",1,1950,0,0,0,334,39300,4
"535",8,2004,707,1,2,1414,178000,9
"536",5,1991,1117,0,0,1347,107500,8
"537",7,1999,880,0,2,1724,188000,6
"538",4,1972,864,0,2,864,111250,13
"539",5,1968,1051,1,1,1159,158000,19
"540",8,2002,1581,1,2,1601,272000,6
"541",9,2006,1838,1,3,1838,315000,24
"542",8,2000,969,1,3,2285,248000,14
"543",7,1999,1650,1,2,1680,213250,17
"544",7,1998,723,0,1,767,133000,13
"545",7,2006,654,1,2,1496,179665,9
"546",7,1988,1204,0,3,2183,229000,17
"547",6,1950,1065,1,2,1635,210000,4
"548",5,1970,768,0,2,768,129500,12
"549",5,1995,825,0,2,825,125000,18
"550",7,2004,912,1,2,2094,263000,21
"551",6,1977,1069,0,2,1069,140000,15
"552",5,1957,928,0,1,928,112500,18
"553",8,2006,1709,1,3,1717,255500,16
"554",4,2003,0,0,2,1126,108000,8
"555",7,2004,998,1,3,2046,284000,16
"556",5,1950,993,1,1,1048,113000,4
"557",5,1957,1092,1,1,1092,141000,13
"558",4,1950,637,0,1,1336,108000,10
"559",7,1997,729,1,2,1446,175000,9
"560",7,2004,1374,1,2,1557,234000,1
"561",5,1996,1392,1,2,1392,121500,19
"562",5,1975,1389,1,2,1389,170000,12
"563",5,1969,996,1,0,996,108000,8
"564",6,1950,1163,1,2,1674,185000,8
"565",7,2000,1095,1,2,2295,268000,14
"566",6,1950,806,0,1,1647,128000,23
"567",9,2007,1122,1,3,2504,325000,22
"568",7,2004,1517,0,2,1535,214000,16
"569",8,2009,1496,1,2,2132,316600,20
"570",5,1979,943,2,2,943,135960,13
"571",5,1965,1728,0,2,1728,142600,13
"572",6,1959,864,0,1,864,120000,13
"573",7,2009,846,0,2,1692,224500,24
"574",7,2000,384,1,2,1430,170000,9
"575",5,2005,372,0,1,1109,139000,13
"576",5,1950,832,0,1,1216,118500,13
"577",7,1950,861,1,1,1477,145000,23
"578",5,1966,1164,2,2,1320,164500,19
"579",7,2007,689,0,2,1392,146000,21
"580",5,1954,1050,0,1,1795,131500,18
"581",6,1987,1144,2,2,1429,181900,13
"582",8,2009,2042,1,3,2042,253293,16
"583",6,1990,816,0,0,816,118500,8
"584",10,2000,1237,1,2,2775,325000,18
"585",4,1995,884,0,1,1573,133000,4
"586",8,2006,1868,2,3,2028,369900,24
"587",6,2000,816,0,1,838,130000,4
"588",5,1982,840,0,2,860,137000,19
"589",5,2003,1437,2,1,1473,143000,5
"590",5,1960,742,0,1,935,79500,4
"591",7,2004,770,0,2,1582,185900,6
"592",10,2008,1722,1,3,2296,451950,16
"593",5,2003,816,0,2,816,138000,12
"594",6,2003,848,0,2,848,140000,6
"595",5,1975,924,0,1,924,110000,6
"596",8,2006,1814,1,3,1826,319000,22
"597",6,1993,684,0,1,1368,114504,18
"598",7,2007,1258,1,3,1402,194201,1
"599",5,1977,1430,1,2,1647,217500,7
"600",6,1980,716,1,2,1556,151000,2
"601",8,2005,1058,1,2,1904,275000,16
"602",6,1950,780,1,1,1375,141000,10
"603",8,1992,908,1,2,1915,220000,20
"604",7,2005,600,0,2,1200,151000,21
"605",7,2002,1494,1,2,1494,221000,6
"606",7,1990,768,3,2,1986,205000,13
"607",5,1996,1040,0,2,1040,152000,6
"608",5,2002,896,0,1,2008,225000,8
"609",8,1998,965,2,2,3194,359100,7
"610",4,1961,1029,0,1,1029,118500,19
"611",9,2000,1440,2,3,2153,313000,6
"612",6,1978,1032,1,2,1032,148000,17
"613",8,2001,1299,1,2,1872,261500,6
"614",5,2007,1120,0,0,1120,147000,12
"615",4,1972,630,0,0,630,75500,11
"616",6,1963,936,0,2,1054,137500,13
"617",6,2003,783,1,2,1509,183200,9
"618",6,1954,832,0,2,832,105500,13
"619",9,2007,1822,1,3,1828,314813,16
"620",8,2003,1482,2,3,2262,305000,24
